age;gender;w2efftrst14;w2efftrst15;w2efftrst16;w2efftrst18;populism_sum;populism;w2eupan1;w2eupan2;w2eupan3;w2eupan4;w2eupan5;w2eupan6;w2eupan7;w2eupan8;w2eupan9;w2eupan10;nativism_sum;nativism;w5EUref1;w6EUref1;w7EUref1;w10EUref1
29;1;;;;;;;;;;;;;;;;;;;3;;;
58;0;;;;;;;;;;;;;;;;;;;3;3;3;3
52;0;4;4;4;4;16;4;4;4;4;3;5;1;3;2;3;2;31;3,1;2;3;3;3
63;1;4;4;3;3;14;3,5;5;5;5;5;5;4;5;3;4;5;46;4,6;2;2;2;
50;0;4;2;3;4;13;3,25;2;2;2;2;4;1;2;2;2;1;20;2;1;1;1;
43;1;;;;;;;;;;;;;;;;;;;2;2;3;3
69;0;;;;;;;;;;;;;;;;;;;3;3;3;3
35;0;4;2;2;4;12;3;1;3;4;4;5;2;4;3;3;2;31;3,1;;;;
51;0;2;4;4;4;14;3,5;5;5;5;5;5;5;5;5;5;4;49;4,9;3;3;3;3
35;1;;;;;;;;;;;;;;;;;;;1;;;
68;1;;;;;;;;;;;;;;;;;;;3;3;3;3
73;1;4;4;3;4;15;3,75;2;3;3;3;4;2;4;2;3;2;28;2,8;2;1;2;
62;1;;;;;;;;;;;;;;;;;;;3;3;;
71;1;;;;;;;;;;;;;;;;;;;3;3;3;
71;1;4;4;4;5;17;4,25;3;2;3;3;4;3;4;3;3;1;29;2,9;1;1;1;1
34;0;;;;;;;;;;;;;;;;;;;1;1;1;1
69;0;;;;;;;;;;;;;;;;;;;1;1;1;
57;1;;;;;;;;;;;;;;;;;;;1;1;1;1
61;1;;;;;;;;;;;;;;;;;;;3;3;3;
56;1;;;;;;;;;;;;;;;;;;;3;3;3;
46;1;5;4;5;5;19;4,75;5;5;5;5;5;5;5;5;5;1;46;4,6;3;3;3;3
54;0;;;;;;;;;;;;;;;;;;;3;;;
28;1;;;;;;;;;;;;;;;;;;;1;1;1;1
57;0;5;5;5;5;20;5;5;5;5;2;5;4;5;5;5;5;46;4,6;3;3;3;3
40;1;;;;;;;;;;;;;;;;;;;2;;;
55;1;3;3;3;3;12;3;3;3;3;3;3;3;3;3;3;3;30;3;;;;
59;1;4;4;5;4;17;4,25;2;2;2;4;4;2;3;2;2;2;25;2,5;;;;
37;1;;;;;;;;;;;;;;;;;;;1;1;1;1
83;0;4;3;5;5;17;4,25;2;2;4;3;3;2;2;3;2;2;25;2,5;;;;
47;0;;;;;;;;;;;;;;;;;;;3;3;3;
65;1;;;;;;;;;;;;;;;;;;;3;3;3;3
73;0;3;3;3;3;12;3;2;3;3;4;5;2;4;4;3;1;31;3,1;3;3;3;3
62;0;5;5;5;4;19;4,75;5;3;4;4;4;4;4;4;4;2;38;3,8;;;;
75;0;;;;;;;;;;;;;;;;;;;3;;;
61;1;;;;;;;;;;;;;;;;;;;3;;;
68;0;;;;;;;;;;;;;;;;;;;2;1;1;
48;1;;;;;;;;;;;;;;;;;;;3;3;3;
42;1;;;;;;;;;;;;;;;;;;;2;;;
43;0;;;;;;;;;;;;;;;;;;;1;1;1;
40;1;;;;;;;;;;;;;;;;;;;2;1;2;2
80;0;3;4;3;4;14;3,5;5;3;5;4;5;4;4;5;4;4;43;4,3;3;3;3;3
67;0;;;;;;;;;;;;;;;;;;;1;1;1;1
63;0;;;;;;;;;;;;;;;;;;;3;3;3;3
69;1;;;;;;;;;;;;;;;;;;;3;3;3;3
62;0;;;;;;;;;;;;;;;;;;;1;;;
64;1;;;;;;;;;;;;;;;;;;;3;3;3;3
55;0;;;;;;;;;;;;;;;;;;;;;;
56;1;2;4;3;4;13;3,25;1;2;2;4;4;1;3;1;2;1;21;2,1;1;1;1;1
