V101,veto_app,rep,dem,ind,pres_app,cong_app,ed,ideol,weight,pres_cong_diff,cong_rate,cong_rate2,house_know,senate_know,chamber_know,news_int,pres_bin,cong_bin,col_grad
302322646,1,0,0,1,2,2,2,1,0.589228112,0,1,1,0,0,0,3,0,0,0
302514877,-2,0,0,1,1,2,3,-1,0.778750341,-1,1,1,1,1,2,4,0,0,0
302524944,1,0,0,1,2,2,5,0,1.311609435,0,1,1,1,1,2,3,0,0,1
302527988,-1,0,0,1,1,1,4,-1,1.799830367,0,1,1,1,1,2,4,0,0,0
302541580,-1,0,0,1,2,1,5,0,0.440292777,1,1,1,0,0,0,3,0,0,1
302561074,-2,0,0,1,1,2,4,0,0.969581515,-1,1,1,1,1,2,4,0,0,0
302584087,-1,0,0,1,1,2,4,-1,1.223364555,-1,1,1,1,1,2,4,0,0,0
302619416,1,0,0,1,1,3,6,0,0.502308554,-2,1,2,0,0,0,3,0,1,1
302670829,0,0,0,1,1,1,3,0,0.581866197,0,1,1,1,1,2,3,0,0,0
302687468,-1,0,0,1,1,3,2,-1,2.095985463,-2,1,2,1,0,1,4,0,1,0
302757293,0,0,0,1,1,2,3,0,0.811578931,-1,1,1,1,1,2,4,0,0,0
302777843,-1,0,0,1,1,1,5,0,0.584241812,0,1,1,1,1,2,3,0,0,1
302888179,2,0,0,1,4,1,3,0,2.158160113,3,1,1,1,1,2,4,1,0,0
302984876,0,0,0,1,2,3,3,0,0.969581515,-1,1,2,0,0,0,4,0,1,0
303022906,-1,0,0,1,1,1,6,0,0.664104241,0,1,1,1,1,2,4,0,0,1
303060154,2,0,0,1,1,2,3,-1,1.799830367,-1,1,1,1,0,1,4,0,0,0
303104548,-2,0,0,1,2,2,4,1,0.96820789,0,1,1,1,0,1,4,0,0,0
303212108,1,0,0,1,2,1,6,0,0.325436578,1,1,1,1,1,2,3,0,0,1
303219991,-2,0,0,1,1,2,3,-1,1.080115941,-1,1,1,1,1,2,3,0,0,0
303236932,1,0,0,1,3,2,4,0,0.5262254,1,1,1,0,0,0,3,1,0,0
303387375,-1,0,0,1,2,2,3,0,2.076290305,0,1,1,1,1,2,4,0,0,0
303470214,1,0,0,1,2,1,5,0,0.45232657,1,1,1,1,1,2,3,0,0,1
303471974,0,0,0,1,3,NA,2,0,0.175656881,NA,0,0,0,0,0,NA,1,NA,0
303513291,0,0,0,1,4,3,5,0,0.125388285,1,1,2,0,0,0,2,1,1,1
303639352,0,0,0,1,3,2,2,0,0.400245085,1,1,1,0,1,1,3,1,0,0
303657091,0,0,0,1,NA,NA,2,NA,0.065328242,NA,0,0,0,0,0,NA,NA,NA,0
303754006,0,0,0,1,2,1,1,0,7.005791393,1,1,1,0,0,0,2,0,0,0
303819032,-1,0,0,1,1,2,4,-2,0.810195416,-1,1,1,1,1,2,4,0,0,0
303831364,0,0,0,1,NA,NA,3,0,0.556943444,NA,0,0,0,0,0,2,NA,NA,0
303951238,-2,0,0,1,2,NA,2,NA,1.095118386,NA,0,0,0,0,0,3,0,NA,0
304090118,-1,0,0,1,2,2,2,0,0.51065636,0,1,1,1,0,1,3,0,0,0
304098766,-1,0,0,1,3,2,3,0,0.499007752,1,1,1,1,1,2,3,1,0,0
304234329,0,0,0,1,1,1,2,-2,0.337503636,0,1,1,1,1,2,3,0,0,0
304496871,-1,0,0,1,1,2,2,0,0.185762543,-1,1,1,1,1,2,1,0,0,0
304674974,1,0,0,1,3,1,6,0,0.965519963,2,1,1,0,0,0,4,1,0,1
304789405,0,0,0,1,3,NA,3,1,5.684298797,NA,0,0,0,0,0,3,1,NA,0
304959502,-2,0,0,1,1,1,2,0,0.781869969,0,1,1,0,0,0,3,0,0,0
305301311,0,0,0,1,2,3,3,-1,4.386109333,-1,1,2,1,0,1,3,0,1,0
303305510,1,0,0,1,4,NA,5,2,0.179067392,NA,0,0,1,1,2,3,1,NA,1
305215930,NA,0,0,1,3,NA,2,NA,0.120569516,NA,0,0,1,0,1,3,1,NA,0
302586681,2,0,1,0,4,1,5,0,0.997450981,3,1,1,1,1,2,4,1,0,1
302609712,2,0,1,0,3,2,3,0,1.137153604,1,1,1,1,1,2,4,1,0,0
302732449,0,0,1,0,3,1,5,0,0.753725657,2,1,1,1,1,2,4,1,0,1
302892303,2,0,1,0,3,1,6,2,0.613567902,2,1,1,1,1,2,4,1,0,1
303028322,2,0,1,0,3,1,5,2,0.531265239,2,1,1,1,1,2,4,1,0,1
303125553,-1,0,1,0,3,1,5,0,0.753725657,2,1,1,1,0,1,4,1,0,1
303302213,0,0,1,0,4,4,2,-1,3.292769659,0,1,2,0,0,0,NA,1,1,0
303313760,1,0,1,0,3,2,5,0,3.074782024,1,1,1,1,1,2,3,1,0,1
303320250,0,0,1,0,3,2,5,0,0.50170546,1,1,1,1,1,2,3,1,0,1
303351843,1,0,1,0,3,1,2,0,0.628758184,2,1,1,1,1,2,3,1,0,0
303858448,2,0,1,0,4,4,4,2,0.393822997,0,1,2,1,0,1,3,1,1,0
304212233,1,0,1,0,3,3,3,NA,1.159192341,0,1,2,0,0,0,2,1,1,0
304229424,1,0,1,0,1,1,1,NA,2.760728274,0,1,1,0,0,0,2,0,0,0
304371716,0,0,1,0,3,2,2,0,0.801073307,1,1,1,1,1,2,3,1,0,0
304483372,1,0,1,0,3,2,5,1,0.670181151,1,1,1,0,1,1,4,1,0,1
304598859,-2,0,1,0,1,2,2,0,1.137875676,-1,1,1,0,0,0,1,0,0,0
304672988,-1,0,1,0,4,1,3,1,0.675221672,3,1,1,0,1,1,4,1,0,0
304111318,-2,0,0,1,1,1,2,NA,0.9638925,0,1,1,1,1,2,2,0,0,0
302898255,0,0,0,1,2,3,3,0,0.526667251,-1,1,2,0,0,0,2,0,1,0
303509020,NA,0,0,1,4,NA,2,-1,0.69871487,NA,0,0,0,0,0,1,1,NA,0
303673140,1,0,0,1,2,NA,2,0,0.829139453,NA,0,0,0,0,0,2,0,NA,0
